22.877185583114624 3.151087999343872 4.764909267425537
         30608331 function calls (18939287 primitive calls) in 30.792 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      321    0.000    0.000    0.002    0.000 category_types.py:377(_subcategory_hook_)
        1    0.000    0.000    0.000    0.000 category_types.py:53(__init__)
        1    0.000    0.000    0.000    0.000 category_types.py:92(super_categories)
    35/12    0.000    0.000    0.012    0.001 category_with_axiom.py:1977(__classcall__)
       17    0.000    0.000    0.000    0.000 category_with_axiom.py:2017(__classget__)
       14    0.000    0.000    0.000    0.000 category_with_axiom.py:2133(extra_super_categories)
     15/9    0.001    0.000    0.005    0.001 category_with_axiom.py:2146(super_categories)
    51/33    0.000    0.000    0.002    0.000 category_with_axiom.py:2186(<genexpr>)
       16    0.000    0.000    0.000    0.000 category_with_axiom.py:2454(axioms)
      202    0.000    0.000    0.000    0.000 category_with_axiom.py:2499(<genexpr>)
     15/9    0.000    0.000    0.007    0.001 category_with_axiom.py:2506(__init__)
   147672    0.200    0.000    0.218    0.000 common.py:21(merge)
       30    0.005    0.000    0.005    0.000 common.py:38(sqnorm)
   251891    0.393    0.000    0.422    0.000 common.py:7(split)
        1    0.000    0.000    0.000    0.000 commontypes.py:27(resolve_common_type)
        9    0.000    0.000    0.000    0.000 complex_interval_field.py:246(is_exact)
       10    0.000    0.000    0.000    0.000 complex_interval_field.py:257(prec)
        1    0.000    0.000    0.000    0.000 complex_interval_field.py:353(middle_field)
       19    0.000    0.000    0.000    0.000 complex_interval_field.py:368(__eq__)
        5    0.000    0.000    0.000    0.000 complex_interval_field.py:389(__hash__)
       18    0.000    0.000    0.001    0.000 complex_interval_field.py:418(__call__)
        5    0.000    0.000    0.000    0.000 complex_interval_field.py:463(_coerce_map_from_)
        3    0.000    0.000    0.000    0.000 complex_interval_field.py:54(ComplexIntervalField)
      473    0.001    0.000    3.829    0.008 context.py:117(r_small)
   484825    0.174    0.000    3.414    0.000 context.py:126(<lambda>)
